uid,storage_id,add_time,title,url
328766d4,7397976,1597833402,Favipiravir for treating patients with novel coronavirus (COVID-19): protocol for a systematic review and meta-analysis of randomised clinical trials,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7397976
180138df,7396952,1597833402,Cerebral Micro-Structural Changes in COVID-19 Patients – An MRI-based 3-month Follow-up Study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7396952
52157bff,7396931,1597833402,Clinical features and outcomes of pregnant women with COVID-19: a systematic review and meta-analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7396931
bcfa2f2a,7396149,1597833402,Corneal xenotransplantation: Where are we standing?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7396149
e3e4dae2,7395946,1597833402,The quality of research on mental health related to the COVID-19 pandemic: A note of caution after a systematic review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7395946
7d087832,7395828,1597833402,Modelling lockdown and exit strategies for COVID-19 in Singapore,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7395828
03466373,7395818,1597833402,Clinical significance summary: Preliminary results of a rapid review of zinc for the prevention and treatment of SARS-CoV-2 and other acute viral respiratory infections,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7395818
1a50be78,7394275,1597833402,Fungal Co-infections Associated with Global COVID-19 Pandemic: A Clinical and Diagnostic Perspective from China,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7394275
c40152b4,7392634,1597833402,The COVID-19 pandemic: diverse contexts; different epidemics—how and why?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7392634
c52ac225,7393782,1597833402,COVID-19 Lung Injury and High-Altitude Pulmonary Edema. A False Equation with Dangerous Implications,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7393782
3a8e6e4d,7391927,1597833402,Classification of the present pharmaceutical agents based on the possible effective mechanism on the COVID-19 infection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7391927
93ca64e9,7390587,1597833402,Point-of-care Lung Ultrasound Is More Sensitive than Chest Radiograph for Evaluation of COVID-19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7390587
79524ed0,7390580,1597833402,Recommendations for Prehospital Airway Management in Patients with Suspected COVID-19 Infection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7390580
8dbadf31,7390577,1597833402,Management of Agitation During the COVID-19 Pandemic,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7390577
eb5faf62,7390573,1597833402,COVID-19 Pandemic and Care of Older Adults at Risk for Delirium and Cognitive Vulnerability,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7390573
c5d77032,7390560,1597833402,Brief Review of Chloroquine and Hydroxychloroquine Toxicity and Management,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7390560
ceadcb14,7390549,1597833402,Identifying Patients at Greatest Risk of Mortality due to COVID-19: A New England Perspective,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7390549
752882ca,7386531,1597833402,Time to SARS-CoV-2 Clearance Among Patients with Cancer and COVID-19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7386531
47a42851,7386523,1597833402,Cerebral Microvascular Injury in Severe COVID-19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7386523
7ad4d850,7386516,1597833402,Kinetics and Isotype Assessment of Antibodies Targeting the Spike Protein Receptor Binding Domain of SARS-CoV-2 In COVID-19 Patients as a function of Age and Biological Sex.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7386516
b0e528eb,7386510,1597833402,Cryo-electron Microscopy and Exploratory Antisense Targeting of the 28-kDa Frameshift Stimulation Element from the SARS-CoV-2 RNA Genome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7386510
597aeaa5,7386501,1597833402,CoVaccine HT™ adjuvant potentiates robust immune responses to recombinant SARS-CoV-2 Spike S1 immunisation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7386501
d417bbd5,7386498,1597833402,An alternative binding mode of IGHV3-53 antibodies to the SARS-CoV-2 receptor binding domain,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7386498
b1298e8d,7386497,1597833402,Escape from neutralizing antibodies by SARS-CoV-2 spike protein variants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7386497
79577b5a,7386491,1597833402,Rapid generation of circulating and mucosal decoy ACE2 using mRNA nanotherapeutics for the potential treatment of SARS-CoV-2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7386491
